,id,school_name,sex,age,address,family_size,parent_status,mother_education,father_education,mother_job,father_job,reason,guardian,travel_time,study_time,class_failures,extra_edu_support,family_edu_support,paid_tutors,extra_curic,nursery_school,higher_edu_interest,internet_access,romantic_rel_interest,qual_family_rel,free_time,go_out,work_alc_consum,weekend_alc_consum,health_status,num_absences,term_1_grade,term_2_grade,final_grade
0,0,Gabriel Pereira,Female,18,Urban,>3,Apart,Higher education,Higher education,at_home,teacher,course,mother,15 to 30 min,2 to 5 hours,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6
1,1,Gabriel Pereira,Female,17,Urban,>3,Together,Primary (4th grade),Primary (4th grade),at_home,other,course,father,<=15 min,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6
2,2,Gabriel Pereira,Female,15,Urban,<=3,Together,Primary (4th grade),Primary (4th grade),at_home,other,other,mother,<=15 min,2 to 5 hours,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10
3,3,Gabriel Pereira,Female,15,Urban,>3,Together,Higher education,5-9th grade,health,services,home,mother,<=15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15
4,4,Gabriel Pereira,Female,16,Urban,>3,Together,Secondary education,Secondary education,other,other,home,father,<=15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10
5,5,Gabriel Pereira,Male,16,Urban,<=3,Together,Higher education,Secondary education,services,other,reputation,mother,<=15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15
6,6,Gabriel Pereira,Male,16,Urban,<=3,Together,5-9th grade,5-9th grade,other,other,home,mother,<=15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11
7,7,Gabriel Pereira,Female,17,Urban,>3,Apart,Higher education,Higher education,other,teacher,home,mother,15 to 30 min,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6
8,8,Gabriel Pereira,Male,15,Urban,<=3,Apart,Secondary education,5-9th grade,services,other,home,mother,<=15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19
9,9,Gabriel Pereira,Male,15,Urban,>3,Together,Secondary education,Higher education,other,other,home,mother,<=15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15
10,10,Gabriel Pereira,Female,15,Urban,>3,Together,Higher education,Higher education,teacher,health,reputation,mother,<=15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9
11,11,Gabriel Pereira,Female,15,Urban,>3,Together,5-9th grade,Primary (4th grade),services,other,reputation,father,30 min. to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12
12,12,Gabriel Pereira,Male,15,Urban,<=3,Together,Higher education,Higher education,health,services,course,father,<=15 min,<2 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14
13,13,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,Secondary education,teacher,other,course,mother,15 to 30 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11
14,14,Gabriel Pereira,Male,15,Urban,>3,Apart,5-9th grade,5-9th grade,other,other,home,other,<=15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16
